date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-12-02,260.0,261.99,257.1,260.55,11637763.0,3028626146.0,3795811143.0,0.0030659489003981777
2020-12-03,260.06,262.0,258.97,261.63,9208685.0,2403046139.0,3795811143.0,0.002426012426087659
2020-12-04,260.5,268.0,260.15,267.19,17051140.0,4536004928.0,3795811143.0,0.004492093878654805
2020-12-07,267.21,275.2,267.21,270.24,19621618.0,5339342748.0,3795811143.0,0.0051692819428556065
2020-12-08,271.55,274.05,268.55,272.0,14777562.0,4019960930.0,3795811143.0,0.003893123615291521
2020-12-09,273.0,274.0,269.5,269.72,11677649.0,3166929095.0,3795811143.0,0.0030764567993682187
2020-12-10,269.0,272.0,267.3,267.67,13410208.0,3611981640.0,3795811143.0,0.0035328965258796595
2020-12-11,268.85,269.99,263.4,267.52,15005255.0,3995342179.0,3795811143.0,0.00395310894949865
2020-12-14,268.5,273.5,266.08,273.15,18174424.0,4937790460.0,3795811143.0,0.004788021141019133
2020-12-15,273.15,273.3,267.31,270.8,14611814.0,3949335198.0,3795811143.0,0.003849457586146298
2020-12-16,273.0,275.0,272.0,274.33,16025487.0,4392611714.0,3795811143.0,0.004221887337454397
2020-12-17,274.54,280.0,274.21,277.81,19976098.0,5547260941.0,3795811143.0,0.005262669096917185
2020-12-18,276.9,279.68,274.08,276.86,15082525.0,4179755004.0,3795811143.0,0.00397346559978735
2020-12-21,275.31,281.98,275.31,281.91,16188978.0,4537599926.0,3795811143.0,0.004264958763782205
2020-12-22,282.98,288.0,281.97,282.38,18706371.0,5338602867.0,3795811143.0,0.004928161674876036
2020-12-23,283.0,288.5,275.0,278.29,25221586.0,7103972924.0,3795811143.0,0.006644584003214198
2020-12-24,276.0,278.9,272.36,275.32,15616076.0,4293939904.0,3795811143.0,0.0041140287047205185
2020-12-25,272.6,277.43,271.5,275.92,11111390.0,3051169983.0,3795811143.0,0.0029272768273761293
2020-12-28,276.0,286.16,275.98,285.95,19381209.0,5490499481.0,3795811143.0,0.005105946600041371
2020-12-29,286.08,286.66,279.18,281.0,14658930.0,4136060906.0,3795811143.0,0.0038618702163391587
2020-12-30,282.89,287.6,281.26,286.88,16882539.0,4826857468.0,3795811143.0,0.004447676231504229
2020-12-31,288.01,294.47,288.0,291.85,16003830.0,4661694422.0,3795786270.0,0.004216209465344844
2021-01-04,292.0,300.0,291.99,298.05,23427822.0,6977115208.0,3795786270.0,0.006172060367350451
2021-01-05,297.2,319.98,294.5,319.98,31460633.0,9802665756.0,3795786270.0,0.008288304652095176
2021-01-06,320.15,335.66,317.79,328.3,31343033.0,10211616774.0,3795786270.0,0.008257322928774912
2021-01-07,328.31,330.68,317.08,330.0,24255948.0,7882443069.0,3795786270.0,0.006390230185431384
2021-01-08,330.06,331.6,308.94,317.0,37870249.0,12096818570.0,3795786270.0,0.009976918168261354
2021-01-11,316.43,316.5,299.5,301.2,38195291.0,11637052716.0,3795786270.0,0.010062550492338443
2021-01-12,298.95,311.3,298.0,310.0,23025505.0,7067492692.0,3795786270.0,0.0060660699423416165
2021-01-13,311.53,313.48,302.12,305.33,23365302.0,7164303594.0,3795786270.0,0.00615558947158529
2021-01-14,304.0,304.88,289.0,289.4,35489554.0,10426526439.0,3795786270.0,0.009349724003295897
2021-01-15,288.0,292.29,278.07,287.7,41713251.0,11843762787.0,3795786270.0,0.010989357153662923
2021-01-18,285.0,287.14,279.33,284.55,27255864.0,7724438137.0,3795786270.0,0.007180558140329645
2021-01-19,287.0,290.0,280.0,281.5,29388857.0,8340023175.0,3795786270.0,0.0077424952064015975
2021-01-20,280.0,285.61,274.94,284.85,26404034.0,7448387725.0,3795786270.0,0.006956143502779465
2021-01-21,285.8,298.99,285.5,296.95,29402390.0,8608576888.0,3795786270.0,0.007746060475633682
2021-01-22,295.08,299.91,292.58,295.56,24946675.0,7369528934.0,3795786270.0,0.006572202233083055
2021-01-25,295.57,316.33,293.2,315.69,41290940.0,12821666909.0,3795786270.0,0.010878099308789586
2021-01-26,315.69,315.71,305.1,305.78,24143501.0,7458358974.0,3795786270.0,0.006360606020106606
2021-01-27,302.9,302.9,287.0,292.58,30793847.0,9033475507.0,3795786270.0,0.008112639861569446
2021-01-28,288.23,292.0,283.0,286.0,27607757.0,7911157527.0,3795786270.0,0.007273264361114831
2021-01-29,290.0,295.14,288.78,291.14,22010914.0,6431745130.0,3795786270.0,0.0057987759147461165
2021-02-01,293.01,299.87,292.29,292.29,19575992.0,5790219683.0,3795786270.0,0.005157295645099639
2021-02-02,292.0,304.33,291.9,304.12,29749240.0,8931329219.0,3795786270.0,0.007837438117926487
2021-02-03,303.8,309.0,301.12,308.75,22454665.0,6862660164.0,3795786270.0,0.00591568212822478
2021-02-04,306.0,316.8,305.01,313.6,28057460.0,8823190962.0,3795786270.0,0.007391738629161542
2021-02-05,314.01,330.0,314.0,319.76,32891319.0,10624157468.0,3795786270.0,0.008665218919188514
2021-02-08,324.0,330.5,313.8,320.0,26652998.0,8556525645.0,3795786270.0,0.0070217330756086015
2021-02-09,322.0,330.0,317.86,329.5,22477980.0,7323491251.0,3795786270.0,0.005921824465633045
2021-02-10,333.0,345.68,332.5,342.65,33193163.0,11318193474.0,3795786270.0,0.008744739729510639
2021-02-18,354.49,357.19,330.89,333.5,34381508.0,11828646632.0,3795786270.0,0.009057809253311832
2021-02-19,333.6,346.2,325.95,344.4,27475002.0,9295089532.0,3795786270.0,0.007238290052616688
2021-02-22,342.0,342.3,310.98,313.06,41458220.0,13367286789.0,3795786270.0,0.010922169229512493
2021-02-23,306.0,322.86,304.17,315.0,27866832.0,8795804296.0,3795786270.0,0.007341517677179437
2021-02-24,315.0,315.01,288.65,293.08,41724817.0,12424962072.0,3795786270.0,0.010992404216689471
2021-02-25,296.5,299.98,285.58,288.9,24904649.0,7274333598.0,3795786270.0,0.006561130482196512
2021-02-26,280.56,287.37,271.0,280.0,28897086.0,8100247691.0,3795786270.0,0.007612938122567159
2021-03-01,286.0,294.0,281.01,289.02,25506327.0,7352003877.0,3795786270.0,0.006719642568284015
2021-03-02,293.2,295.88,275.3,280.7,24412465.0,6955462355.0,3795786270.0,0.006431464593500413
2021-03-03,276.0,286.8,271.61,285.3,21171711.0,5951313500.0,3795786270.0,0.005577687860702441
2021-03-04,280.0,280.0,265.0,266.31,32935886.0,8896042111.0,3795786270.0,0.008676960096596797
2021-03-05,258.0,272.19,254.0,266.5,29165040.0,7727068296.0,3795786270.0,0.007683530611432451
2021-03-08,268.0,270.03,244.44,244.5,38365377.0,9779570335.0,3795786270.0,0.010107359653840573
2021-03-09,242.0,249.2,230.0,242.5,43874577.0,10599045848.0,3795786270.0,0.011558758549384816
2021-03-10,248.0,255.0,247.1,252.6,30958230.0,7776577822.0,3795786270.0,0.00815594656756056
2021-03-11,255.01,269.5,250.08,265.04,30153094.0,7909417124.0,3795786270.0,0.007943833465628717
2021-03-12,269.1,269.49,255.77,264.45,25143785.0,6596290241.0,3795786270.0,0.006624130868148169
2021-03-15,262.45,266.5,246.0,251.01,24899734.0,6320778553.0,3795786270.0,0.006559835625307744
2021-03-16,251.6,262.55,250.55,262.41,23165605.0,5953026225.0,3795786270.0,0.006102979291297136
2021-03-17,261.5,268.03,255.0,264.31,19887801.0,5234840657.0,3795786270.0,0.0052394417349531115
2021-03-18,265.0,275.0,265.0,270.39,20130334.0,5462748512.0,3795786270.0,0.005303337060650678
2021-03-19,263.0,265.0,257.67,260.79,19784981.0,5158274509.0,3795786270.0,0.005212353803050139
2021-03-22,260.95,263.59,254.71,259.5,14278219.0,3700614995.0,3795786270.0,0.003761597198674729
2021-03-23,259.5,263.98,256.98,262.25,12695157.0,3309793204.0,3795786270.0,0.003344539470079278
